Age,Acquisition_Type,Source,Games
14,College,Pro,6105
14,High School,Pro,13998
14,International,Pro,7091
15,College,Pro,4677
15,International,Pro,2849
16,College,Pro,1784
16,High School,Pro,2
16,International,Pro,3875
17,College,Pro,65
17,High School,Pro,363
17,High School,Summer,9
17,International,Pro,6228
18,College,College,694
18,College,Pro,838
18,College,Summer,84
18,High School,Pro,4569
18,International,Pro,6556
18,International,Summer,20
19,College,College,4017
19,College,Pro,1153
19,College,Summer,645
19,High School,Pro,11114
19,International,Pro,8428
20,College,College,4840
20,College,Pro,1064
20,College,Summer,1034
20,High School,Pro,11619
20,International,Pro,8096
21,College,College,4171
21,College,Pro,4164
21,High School,Pro,11450
21,International,Pro,7553
